,Ingredient,Normalized,Name of Dish
823,cream cheese,cream cheese,Peanut Butter Chocolate Mousse Cake
824,peanut butter,peanut butter,Peanut Butter Chocolate Mousse Cake
825,powdered sugar,sugar,Peanut Butter Chocolate Mousse Cake
826,vanilla,vanilla,Peanut Butter Chocolate Mousse Cake
827,salt,salt,Peanut Butter Chocolate Mousse Cake
828,heavy cream,heavy cream,Peanut Butter Chocolate Mousse Cake
829,large egg yolks,egg,Peanut Butter Chocolate Mousse Cake
830,sugar,sugar,Peanut Butter Chocolate Mousse Cake
831,heavy cream,heavy cream,Peanut Butter Chocolate Mousse Cake
832,semi-sweet chocolate chips,chocolate chips,Peanut Butter Chocolate Mousse Cake
833,dark chocolate chips,chocolate chips,Peanut Butter Chocolate Mousse Cake
834,dark chocolate chips,chocolate chips,Peanut Butter Chocolate Mousse Cake
835,light corn syrup,corn,Peanut Butter Chocolate Mousse Cake
836,heavy cream,heavy cream,Peanut Butter Chocolate Mousse Cake
837,semi-sweet chocolate,chocolate,Chocolate Cupcakes with Milka Oreo Ganache Filling & Buttercream Frosting
838,cocoa powder,cocoa,Chocolate Cupcakes with Milka Oreo Ganache Filling & Buttercream Frosting
839,strong hot coffee,coffee,Chocolate Cupcakes with Milka Oreo Ganache Filling & Buttercream Frosting
840,all purpose flour,all purpose flour,Chocolate Cupcakes with Milka Oreo Ganache Filling & Buttercream Frosting
841,salt,salt,Chocolate Cupcakes with Milka Oreo Ganache Filling & Buttercream Frosting
842,baking soda,baking soda,Chocolate Cupcakes with Milka Oreo Ganache Filling & Buttercream Frosting
843,vegetable oil,vegetable oil,Chocolate Cupcakes with Milka Oreo Ganache Filling & Buttercream Frosting
844,sugar,sugar,Chocolate Cupcakes with Milka Oreo Ganache Filling & Buttercream Frosting
845,vanilla extract,vanilla,Chocolate Cupcakes with Milka Oreo Ganache Filling & Buttercream Frosting
846,buttermilk,buttermilk,Chocolate Cupcakes with Milka Oreo Ganache Filling & Buttercream Frosting
847,eggs,egg,Chocolate Cupcakes with Milka Oreo Ganache Filling & Buttercream Frosting
848,Milka Oreo candy bars,milk,Chocolate Cupcakes with Milka Oreo Ganache Filling & Buttercream Frosting
849,semi-sweet chocolate chips,chocolate chips,Chocolate Cupcakes with Milka Oreo Ganache Filling & Buttercream Frosting
850,heavy whipping cream,cream,Chocolate Cupcakes with Milka Oreo Ganache Filling & Buttercream Frosting
851,Milka Oreo candy bars,milk,Chocolate Cupcakes with Milka Oreo Ganache Filling & Buttercream Frosting
852,unsalted butter,butter,Chocolate Cupcakes with Milka Oreo Ganache Filling & Buttercream Frosting
853,powdered sugar,sugar,Chocolate Cupcakes with Milka Oreo Ganache Filling & Buttercream Frosting
854,Salt,salt,Chocolate Cupcakes with Milka Oreo Ganache Filling & Buttercream Frosting
855,unsalted butter,butter,Peanut Butter Stuffed Chocolate Chip Cookies
856,sugar,sugar,Peanut Butter Stuffed Chocolate Chip Cookies
857,light brown sugar,sugar,Peanut Butter Stuffed Chocolate Chip Cookies
858,large eggs,egg,Peanut Butter Stuffed Chocolate Chip Cookies
859,vanilla extract,vanilla,Peanut Butter Stuffed Chocolate Chip Cookies
860,all purpose flour,all purpose flour,Peanut Butter Stuffed Chocolate Chip Cookies
861,cornstarch,starch,Peanut Butter Stuffed Chocolate Chip Cookies
862,baking soda,baking soda,Peanut Butter Stuffed Chocolate Chip Cookies
863,salt,salt,Peanut Butter Stuffed Chocolate Chip Cookies
864,mini semi-sweet chocolate chips,chocolate chips,Peanut Butter Stuffed Chocolate Chip Cookies
865,milk chocolate chips,chocolate chips,Peanut Butter Stuffed Chocolate Chip Cookies
866,peanut butter,peanut butter,Peanut Butter Stuffed Chocolate Chip Cookies
867,boneless chicken breasts,chicken,Fajita Stuffed Chicken
868,chicken broth,chicken broth,Fajita Stuffed Chicken
869,olive oil,olive oil,Fajita Stuffed Chicken
870,white vinegar,vinegar,Fajita Stuffed Chicken
871,cumin,cumin,Fajita Stuffed Chicken
872,garlic powder,garlic,Fajita Stuffed Chicken
873,onion powder,onion,Fajita Stuffed Chicken
874,salt,salt,Fajita Stuffed Chicken
875,lemon pepper seasoning,pepper,Fajita Stuffed Chicken
876,chili powder,,Fajita Stuffed Chicken
877,drops of Cholula chili lime hot sauce,lime,Fajita Stuffed Chicken
878,olive oil,olive oil,Fajita Stuffed Chicken
879,red pepper,pepper,Fajita Stuffed Chicken
880,green pepper,pepper,Fajita Stuffed Chicken
881,sweet onion,onion,Fajita Stuffed Chicken
882,shredded Mexican cheese blend,cheese,Fajita Stuffed Chicken
883,white rice,rice,Fajita Stuffed Chicken
884,butter,butter,Fajita Stuffed Chicken
885,water,,Fajita Stuffed Chicken
886,packet Sazon Goya,,Fajita Stuffed Chicken
887,salt to taste,salt,Fajita Stuffed Chicken
888,Salsa,salsa,Fajita Stuffed Chicken
889,Cilantro,cilantro,Fajita Stuffed Chicken
890,Sour Cream,sour cream,Fajita Stuffed Chicken
891,Baker's German's sweet chocolate,chocolate,German Chocolate Cake
892,water,,German Chocolate Cake
893,unsalted butter,butter,German Chocolate Cake
894,white sugar,sugar,German Chocolate Cake
895,large eggs,egg,German Chocolate Cake
896,vanilla extract,vanilla,German Chocolate Cake
897,buttermilk,buttermilk,German Chocolate Cake
898,plus 2 tbsp all purpose flour,all purpose flour,German Chocolate Cake
899,cornstarch,starch,German Chocolate Cake
900,salt,salt,German Chocolate Cake
901,baking soda,baking soda,German Chocolate Cake
902,sweetened coconut,coconut,German Chocolate Cake
903,chopped pecans,pecan,German Chocolate Cake
904,egg yolks,egg,German Chocolate Cake
905,can evaporated milk,milk,German Chocolate Cake
906,vanilla extract,vanilla,German Chocolate Cake
907,sugar,sugar,German Chocolate Cake
908,unsalted butter,butter,German Chocolate Cake
909,salt,salt,German Chocolate Cake
910,unsalted butter,butter,German Chocolate Cake
911,all vegetable shortening,vegetable,German Chocolate Cake
912,cocoa powder,cocoa,German Chocolate Cake
913,powdered sugar,sugar,German Chocolate Cake
914,sea salt,salt,German Chocolate Cake
915,milk or heavy cream,heavy cream,German Chocolate Cake
916,butter,butter,Skillet Brookie
917,large egg,egg,Skillet Brookie
918,sugar,sugar,Skillet Brookie
919,light brown sugar,sugar,Skillet Brookie
920,vanilla extract,vanilla,Skillet Brookie
921,all purpose flour,all purpose flour,Skillet Brookie
922,cocoa powder,cocoa,Skillet Brookie
923,salt,salt,Skillet Brookie
924,baking powder,baking powder,Skillet Brookie
925,butter,butter,Skillet Brookie
926,sugar,sugar,Skillet Brookie
927,light brown sugar,sugar,Skillet Brookie
928,large egg,egg,Skillet Brookie
929,milk,milk,Skillet Brookie
930,vanilla,vanilla,Skillet Brookie
931,all purpose flour,all purpose flour,Skillet Brookie
932,cornstarch,starch,Skillet Brookie
933,salt,salt,Skillet Brookie
934,baking soda,baking soda,Skillet Brookie
935,plus 2 tbsp semi-sweet chocolate chips,chocolate chips,Skillet Brookie
936,plus 2 tbsp milk chocolate chunks,chocolate,Skillet Brookie
937,chicken breasts,chicken,Hint of Lime CrockPot Chicken Chili
938,onion,onion,Hint of Lime CrockPot Chicken Chili
939,can black beans,black bean,Hint of Lime CrockPot Chicken Chili
940,can light red kidney beans,red kidney bean,Hint of Lime CrockPot Chicken Chili
941,can tomato sauce,tomato,Hint of Lime CrockPot Chicken Chili
942,bag frozen corn,corn,Hint of Lime CrockPot Chicken Chili
943,can diced tomatoes with green chiles,tomato,Hint of Lime CrockPot Chicken Chili
944,bag frozen peppers and onions,pepper,Hint of Lime CrockPot Chicken Chili
945,pack McCormick Grill Mates Mojito Lime Marinade,lime,Hint of Lime CrockPot Chicken Chili
946,cumin,cumin,Hint of Lime CrockPot Chicken Chili
947,chili powder,,Hint of Lime CrockPot Chicken Chili
948,dried oregano,oregano,Hint of Lime CrockPot Chicken Chili
949,salsa,salsa,Hint of Lime CrockPot Chicken Chili
950,chicken broth,chicken broth,Hint of Lime CrockPot Chicken Chili
951,for serving: fresh lime juice,lime juice,Hint of Lime CrockPot Chicken Chili
952,of chicken breasts  ,chicken,Chicken and Andouille Sausage Burritos
953,package of smoked andouille sausage,smoke,Chicken and Andouille Sausage Burritos
954,Olive oil,olive oil,Chicken and Andouille Sausage Burritos
955,Salt,salt,Chicken and Andouille Sausage Burritos
956,Pepper,pepper,Chicken and Andouille Sausage Burritos
957,garlic,garlic,Chicken and Andouille Sausage Burritos
958,chopped cilantro,cilantro,Chicken and Andouille Sausage Burritos
959,lime,lime,Chicken and Andouille Sausage Burritos
960,bell peppers (red,bell pepper,Chicken and Andouille Sausage Burritos
961,large sweet onion,onion,Chicken and Andouille Sausage Burritos
962,jar of salsa verde,salsa,Chicken and Andouille Sausage Burritos
963,jar of red salsa of choice,salsa,Chicken and Andouille Sausage Burritos
964,package of yellow rice,rice,Chicken and Andouille Sausage Burritos
965,can of refried beans,bean,Chicken and Andouille Sausage Burritos
966,Shredded Mexican cheese for topping,cheese,Chicken and Andouille Sausage Burritos
967,burrito tortillas,,Chicken and Andouille Sausage Burritos
968,wonton wrappers,,Wonton Taco Cups
969,ground beef,beef,Wonton Taco Cups
970,package taco seasoning,,Wonton Taco Cups
971,mixed cheese,cheese,Wonton Taco Cups
972,Toppings: sour cream,sour cream,Wonton Taco Cups
973,all purpose flour,all purpose flour,Homemade Apple Pie
974,almond flour,almond,Homemade Apple Pie
975,salt,salt,Homemade Apple Pie
976,sugar,sugar,Homemade Apple Pie
977,unsalted butter,butter,Homemade Apple Pie
978,cold water,,Homemade Apple Pie
979,vinegar,vinegar,Homemade Apple Pie
980,unsalted butter,butter,Homemade Apple Pie
981,all purpose flour,all purpose flour,Homemade Apple Pie
982,vanilla,vanilla,Homemade Apple Pie
983,cinnamon,cinnamon,Homemade Apple Pie
984,nutmeg,nutmeg,Homemade Apple Pie
985,water,,Homemade Apple Pie
986,white sugar,sugar,Homemade Apple Pie
987,packed brown sugar,sugar,Homemade Apple Pie
988,Granny Smith apples,apple,Homemade Apple Pie
989,chicken breasts,chicken,Chicken and Roasted Vegetable Enchilada Casserole
990,pack McCormick original taco seasoning mix,gin,Chicken and Roasted Vegetable Enchilada Casserole
991,bell peppers,bell pepper,Chicken and Roasted Vegetable Enchilada Casserole
992,zucchini,zucchini,Chicken and Roasted Vegetable Enchilada Casserole
993,yellow squash,squash,Chicken and Roasted Vegetable Enchilada Casserole
994,onion,onion,Chicken and Roasted Vegetable Enchilada Casserole
995,olive oil,olive oil,Chicken and Roasted Vegetable Enchilada Casserole
996,can black beans,black bean,Chicken and Roasted Vegetable Enchilada Casserole
997,ground cumin,cumin,Chicken and Roasted Vegetable Enchilada Casserole
998,chili powder,,Chicken and Roasted Vegetable Enchilada Casserole
999,garlic cloves,garlic,Chicken and Roasted Vegetable Enchilada Casserole
1000,chopped cilantro,cilantro,Chicken and Roasted Vegetable Enchilada Casserole
1001,Salt to taste,salt,Chicken and Roasted Vegetable Enchilada Casserole
1002,Pepper to taste,pepper,Chicken and Roasted Vegetable Enchilada Casserole
1003,28oz can medium red enchilada sauce,,Chicken and Roasted Vegetable Enchilada Casserole
1004,Pack of small corn tortillas,corn,Chicken and Roasted Vegetable Enchilada Casserole
1005,shredded Mexican cheese,cheese,Chicken and Roasted Vegetable Enchilada Casserole
1006,sugar,sugar,Hot Milk Cake
1007,eggs,egg,Hot Milk Cake
1008,baking powder,baking powder,Hot Milk Cake
1009,all purpose flour,all purpose flour,Hot Milk Cake
1010,milk,milk,Hot Milk Cake
1011,salted butter,butter,Hot Milk Cake
1012,vanilla,vanilla,Hot Milk Cake
1013,salted butter,butter,Hot Milk Cake
1014,"shredded coconut, sweetened ",coconut,Hot Milk Cake
1015,heavy whipping cream,cream,Hot Milk Cake
1016,light brown sugar,sugar,Hot Milk Cake
1017,zest of 1 lemon,lemon,Chicken and Vegetable Farro Salad
1018,juice of 1 lemon,lemon,Chicken and Vegetable Farro Salad
1019,white wine vinegar,white wine,Chicken and Vegetable Farro Salad
1020,honey,honey,Chicken and Vegetable Farro Salad
1021,garlic,garlic,Chicken and Vegetable Farro Salad
1022,kosher salt,salt,Chicken and Vegetable Farro Salad
1023,pepper,pepper,Chicken and Vegetable Farro Salad
1024,ground thyme,thyme,Chicken and Vegetable Farro Salad
1025,cardamom,cardamom,Chicken and Vegetable Farro Salad
1026,olive oil,olive oil,Chicken and Vegetable Farro Salad
1027,chicken breast,chicken,Chicken and Vegetable Farro Salad
1028,red onion,onion,Chicken and Vegetable Farro Salad
1029,mini sweet peppers,pepper,Chicken and Vegetable Farro Salad
1030,vine ripe tomatoes,tomato,Chicken and Vegetable Farro Salad
1031,~2 tbsp olive oil,olive oil,Chicken and Vegetable Farro Salad
1032,salt and pepper,pepper,Chicken and Vegetable Farro Salad
1033,parsley,parsley,Chicken and Vegetable Farro Salad
1034,basil,basil,Chicken and Vegetable Farro Salad
1035,fresh thyme,thyme,Chicken and Vegetable Farro Salad
1036,fresh rosemary,rosemary,Chicken and Vegetable Farro Salad
1037,dry farro,,Chicken and Vegetable Farro Salad
1038,kosher salt,salt,Chicken and Vegetable Farro Salad
1039,garlic,garlic,Chicken and Vegetable Farro Salad
1040,pepper,pepper,Chicken and Vegetable Farro Salad
1041,olive oil,olive oil,Chicken and Vegetable Farro Salad
1042,all purpose flour,all purpose flour,Lemon Cake with Lemon Oreo Filling
1043,cornstarch,starch,Lemon Cake with Lemon Oreo Filling
1044,salt,salt,Lemon Cake with Lemon Oreo Filling
1045,baking soda,baking soda,Lemon Cake with Lemon Oreo Filling
1046,baking powder,baking powder,Lemon Cake with Lemon Oreo Filling
1047,sugar,sugar,Lemon Cake with Lemon Oreo Filling
1048,extra large eggs or 4 large eggs,egg,Lemon Cake with Lemon Oreo Filling
1049,vegetable oil,vegetable oil,Lemon Cake with Lemon Oreo Filling
1050,fresh lemon juice from about 1.5 large lemons,lemon juice,Lemon Cake with Lemon Oreo Filling
1051,lemon zest from about 1 large lemon,lemon,Lemon Cake with Lemon Oreo Filling
1052,sour cream,sour cream,Lemon Cake with Lemon Oreo Filling
1053,lemon Oreo thins,lemon,Lemon Cake with Lemon Oreo Filling
1054,butter,butter,Lemon Cake with Lemon Oreo Filling
1055,powdered sugar,sugar,Lemon Cake with Lemon Oreo Filling
1056,almond extract,almond,Lemon Cake with Lemon Oreo Filling
1057,milk,milk,Lemon Cake with Lemon Oreo Filling
1058,almond flour,almond,Lemon Cake with Lemon Oreo Filling
1059,cream cheese,cream cheese,Lemon Cake with Lemon Oreo Filling
1060,Cool Whip,,Lemon Cake with Lemon Oreo Filling
1061,sugar,sugar,Lemon Cake with Lemon Oreo Filling
1062,powdered sugar,sugar,Lemon Cake with Lemon Oreo Filling
1063,lemon zest,lemon,Lemon Cake with Lemon Oreo Filling
1064,lemon juice,lemon juice,Lemon Cake with Lemon Oreo Filling
1065,chicken breasts,chicken,Chicken Tikka Masala (Slow Cooker or Instant Pot)
1066,kosher salt,salt,Chicken Tikka Masala (Slow Cooker or Instant Pot)
1067,butter,butter,Chicken Tikka Masala (Slow Cooker or Instant Pot)
1068,onion,onion,Chicken Tikka Masala (Slow Cooker or Instant Pot)
1069,garlic,garlic,Chicken Tikka Masala (Slow Cooker or Instant Pot)
1070,fresh grated ginger,ginger,Chicken Tikka Masala (Slow Cooker or Instant Pot)
1071,cayenne pepper,cayenne,Chicken Tikka Masala (Slow Cooker or Instant Pot)
1072,paprika,paprika,Chicken Tikka Masala (Slow Cooker or Instant Pot)
1073,chili powder,,Chicken Tikka Masala (Slow Cooker or Instant Pot)
1074,tumeric,,Chicken Tikka Masala (Slow Cooker or Instant Pot)
1075,cumin,cumin,Chicken Tikka Masala (Slow Cooker or Instant Pot)
1076,cardamon,,Chicken Tikka Masala (Slow Cooker or Instant Pot)
1077,garam masala,,Chicken Tikka Masala (Slow Cooker or Instant Pot)
1078,coriander,coriander,Chicken Tikka Masala (Slow Cooker or Instant Pot)
1079,crushed tomatoes,tomato,Chicken Tikka Masala (Slow Cooker or Instant Pot)
1080,coconut milk,coconut,Chicken Tikka Masala (Slow Cooker or Instant Pot)
1081,"cilantro, jasmine rice, naan",cilantro,Chicken Tikka Masala (Slow Cooker or Instant Pot)
1082,chicken breast,chicken,Apple Stuffed Chicken with Sage Sauce
1083,chicken broth,chicken broth,Apple Stuffed Chicken with Sage Sauce
1084,lemon pepper seasoning,pepper,Apple Stuffed Chicken with Sage Sauce
1085,smoked paprika,paprika,Apple Stuffed Chicken with Sage Sauce
1086,salt,salt,Apple Stuffed Chicken with Sage Sauce
1087,olive oil,olive oil,Apple Stuffed Chicken with Sage Sauce
1088,sharp cheddar cheese,cheddar cheese,Apple Stuffed Chicken with Sage Sauce
1089,medium sized apple,apple,Apple Stuffed Chicken with Sage Sauce
1090,butter,butter,Apple Stuffed Chicken with Sage Sauce
1091,sage leaves,sage,Apple Stuffed Chicken with Sage Sauce
1092,buttermilk,buttermilk,Blueberry English Muffins
1093,sugar,sugar,Blueberry English Muffins
1094,package yeast,yeast,Blueberry English Muffins
1095,warm water,,Blueberry English Muffins
1096,melted butter,butter,Blueberry English Muffins
1097,all purpose flour,all purpose flour,Blueberry English Muffins
1098,whole wheat flour,wheat,Blueberry English Muffins
1099,salt,salt,Blueberry English Muffins
1100,blueberries,blueberries,Blueberry English Muffins
1101,corn meal for dusting,corn,Blueberry English Muffins
1102,ground pork,pork,Asian Pork Meatball Sandwich
1103,large egg,egg,Asian Pork Meatball Sandwich
1104,plain panko bread crumbs,bread,Asian Pork Meatball Sandwich
1105,chives,chive,Asian Pork Meatball Sandwich
1106,salt,salt,Asian Pork Meatball Sandwich
1107,garlic powder,garlic,Asian Pork Meatball Sandwich
1108,black pepper,black pepper,Asian Pork Meatball Sandwich
1109,olive oil,olive oil,Asian Pork Meatball Sandwich
1110,onion,onion,Asian Pork Meatball Sandwich
1111,soy sauce,soy sauce,Asian Pork Meatball Sandwich
1112,salt,salt,Asian Pork Meatball Sandwich
1113,black pepper,black pepper,Asian Pork Meatball Sandwich
1114,paprika,paprika,Asian Pork Meatball Sandwich
1115,brown sugar,sugar,Asian Pork Meatball Sandwich
1116,garlic,garlic,Asian Pork Meatball Sandwich
1117,tomato sauce,tomato,Asian Pork Meatball Sandwich
1118,marinara sauce,,Asian Pork Meatball Sandwich
1119,tomato sauce,tomato,Asian Pork Meatball Sandwich
1120,sub rolls,,Asian Pork Meatball Sandwich
1121,cilantro,cilantro,Asian Pork Meatball Sandwich
1122,grits,,Sausage and Grits
1123,chicken broth,chicken broth,Sausage and Grits
1124,milk,milk,Sausage and Grits
1125,salt,salt,Sausage and Grits
1126,unsalted butter,butter,Sausage and Grits
1127,shredded cheddar cheese,cheddar cheese,Sausage and Grits
1128,thick cut bacon,bacon,Sausage and Grits
1129,orange bell pepper,bell pepper,Sausage and Grits
1130,red bell pepper,bell pepper,Sausage and Grits
1131,yellow bell pepper,bell pepper,Sausage and Grits
1132,large sweet onion,onion,Sausage and Grits
1133,garlic,garlic,Sausage and Grits
1134,Old Bay seasoning,bay,Sausage and Grits
1135,lemon juice,lemon juice,Sausage and Grits
1136,package Andouille sausage,sage,Sausage and Grits
1137,butter,butter,Sausage and Grits
1138,water,,Sausage and Grits
1139,all purpose flour,all purpose flour,Sausage and Grits
1140,salt,salt,Sausage and Grits
1141,cayenne pepper,cayenne,Sausage and Grits
1142,garlic powder,garlic,Sausage and Grits
1143,Worcestershire sauce,,Sausage and Grits
1144,Tabasco sauce,,Sausage and Grits
1145,green onions,onion,Sausage and Grits
1146,almond flour,almond,Rustic Peach Blueberry Tart
1147,all purpose flour,all purpose flour,Rustic Peach Blueberry Tart
1148,sugar,sugar,Rustic Peach Blueberry Tart
1149,salt,salt,Rustic Peach Blueberry Tart
1150,unsalted butter,butter,Rustic Peach Blueberry Tart
1151,very cold water,,Rustic Peach Blueberry Tart
1152,almond extract,almond,Rustic Peach Blueberry Tart
1153,egg,egg,Rustic Peach Blueberry Tart
1154,peaches,peach,Rustic Peach Blueberry Tart
1155,sugar,sugar,Rustic Peach Blueberry Tart
1156,brown sugar,sugar,Rustic Peach Blueberry Tart
1157,cornstarch,starch,Rustic Peach Blueberry Tart
1158,cinnamon,cinnamon,Rustic Peach Blueberry Tart
1159,nutmeg,nutmeg,Rustic Peach Blueberry Tart
1160,lemon juice,lemon juice,Rustic Peach Blueberry Tart
1161,almond extract,almond,Rustic Peach Blueberry Tart
1162,blueberries,blueberries,Rustic Peach Blueberry Tart
1163,chicken breasts,chicken,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
1164,olive oil,olive oil,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
1165,onion,onion,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
1166,garlic,garlic,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
1167,tomato sauce,tomato,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
1168,molasses,,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
1169,brown sugar,sugar,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
1170,apple cider vinegar,vinegar,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
1171,tomato paste,tomato,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
1172,liquid smoke,smoke,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
1173,paprika,paprika,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
1174,chili powder,,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
1175,cinnamon,cinnamon,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
1176,Sriracha chili sauce,,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
1177,broccoli slaw,broccoli,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
1178,red pepper,pepper,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
1179,shredded carrots,carrot,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
1180,sugar,sugar,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
1181,salt,salt,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
1182,vegetable oil,vegetable oil,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
1183,rice vinegar,vinegar,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
1184,Slider buns,,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
1185,of unsalted butter,butter,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
1186,whole milk,milk,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
1187,granulated sugar,sugar,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
1188,light brown sugar,sugar,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
1189,large eggs,egg,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
1190,pure vanilla extract,vanilla,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
1191,all purpose flour,all purpose flour,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
1192,salt,salt,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
1193,baking soda,baking soda,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
1194,cornstarch,starch,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
1195,semi-sweet chocolate chips plus 2 tablespoons,chocolate chips,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
1196,caramel chips plus 2 tablespoons,,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
1197,sea salt,salt,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
1198,almond flour,almond,Pumpkin Breakfast Bars
1199,plus 1/4 cup all purpose flour,all purpose flour,Pumpkin Breakfast Bars
1200,cornstarch,starch,Pumpkin Breakfast Bars
1201,old fashioned oats,oat,Pumpkin Breakfast Bars
1202,salt,salt,Pumpkin Breakfast Bars
1203,baking powder,baking powder,Pumpkin Breakfast Bars
1204,pumpkin pie spice,pumpkin,Pumpkin Breakfast Bars
1205,cinnamon,cinnamon,Pumpkin Breakfast Bars
1206,canned pumpkin puree,pumpkin,Pumpkin Breakfast Bars
1207,honey,honey,Pumpkin Breakfast Bars
1208,vanilla,vanilla,Pumpkin Breakfast Bars
1209,butter,butter,Pumpkin Breakfast Bars
1210,large eggs,egg,Pumpkin Breakfast Bars
1211,plus 2 tbsp buttermilk,buttermilk,Pumpkin Breakfast Bars
1212,canned pumpkin puree,pumpkin,Pumpkin Breakfast Bars
1213,honey,honey,Pumpkin Breakfast Bars
1214,brown sugar,sugar,Pumpkin Breakfast Bars
1215,egg,egg,Pumpkin Breakfast Bars
1216,pumpkin pie spice,pumpkin,Pumpkin Breakfast Bars
1217,plain breadcrumbs,bread,Instant Pot Meatballs
1218,milk,milk,Instant Pot Meatballs
1219,ground beef,beef,Instant Pot Meatballs
1220,ground sausage,sage,Instant Pot Meatballs
1221,fresh grated parmesan cheese,parmesan cheese,Instant Pot Meatballs
1222,Italian seasoning,,Instant Pot Meatballs
1223,salt,salt,Instant Pot Meatballs
1224,black pepper,black pepper,Instant Pot Meatballs
1225,cayenne pepper,cayenne,Instant Pot Meatballs
1226,egg,egg,Instant Pot Meatballs
1227,olive oil,olive oil,Instant Pot Meatballs
1228,onion,onion,Instant Pot Meatballs
1229,garlic,garlic,Instant Pot Meatballs
1230,can crushed tomatoes,tomato,Instant Pot Meatballs
1231,can tomato sauce,tomato,Instant Pot Meatballs
1232,can tomato paste,tomato,Instant Pot Meatballs
1233,sugar,sugar,Instant Pot Meatballs
1234,dried oregano,oregano,Instant Pot Meatballs
1235,dried basil,basil,Instant Pot Meatballs
1236,Italian seasoning,,Instant Pot Meatballs
1237,salt,salt,Instant Pot Meatballs
1238,pepper,pepper,Instant Pot Meatballs
1239,package of white cake mix,,White Almond Cake with Raspberry Filling and Buttercream Frosting
1240,all-purpose flour,all purpose flour,White Almond Cake with Raspberry Filling and Buttercream Frosting
1241,sugar,sugar,White Almond Cake with Raspberry Filling and Buttercream Frosting
1242,salt,salt,White Almond Cake with Raspberry Filling and Buttercream Frosting
1243,water,,White Almond Cake with Raspberry Filling and Buttercream Frosting
1244,sour cream,sour cream,White Almond Cake with Raspberry Filling and Buttercream Frosting
1245,vegetable oil,vegetable oil,White Almond Cake with Raspberry Filling and Buttercream Frosting
1246,almond extract,almond,White Almond Cake with Raspberry Filling and Buttercream Frosting
1247,vanilla extract,vanilla,White Almond Cake with Raspberry Filling and Buttercream Frosting
1248,egg whites,egg,White Almond Cake with Raspberry Filling and Buttercream Frosting
1249,frozen unsweetened raspberries,raspberries,White Almond Cake with Raspberry Filling and Buttercream Frosting
1250,sugar,sugar,White Almond Cake with Raspberry Filling and Buttercream Frosting
1251,lemon juice,lemon juice,White Almond Cake with Raspberry Filling and Buttercream Frosting
1252,cornstarch,starch,White Almond Cake with Raspberry Filling and Buttercream Frosting
1253,raspberry liqueur,raspberry,White Almond Cake with Raspberry Filling and Buttercream Frosting
1254,stick of unsalted butter,butter,White Almond Cake with Raspberry Filling and Buttercream Frosting
1255,all vegetable shortening,vegetable,White Almond Cake with Raspberry Filling and Buttercream Frosting
1256,powdered sugar,sugar,White Almond Cake with Raspberry Filling and Buttercream Frosting
1257,vanilla,vanilla,White Almond Cake with Raspberry Filling and Buttercream Frosting
1258,sea salt,salt,White Almond Cake with Raspberry Filling and Buttercream Frosting
1259,milk or heavy cream,heavy cream,White Almond Cake with Raspberry Filling and Buttercream Frosting
1260,frozen unsweetened raspberries,raspberries,White Almond Cake with Raspberry Filling and Buttercream Frosting
1261,stick of unsalted butter,butter,White Almond Cake with Raspberry Filling and Buttercream Frosting
1262,shortening,,White Almond Cake with Raspberry Filling and Buttercream Frosting
